State,Name of District (Traffic unit),Name of Jurisdictional Police Station,NH/SH/MDR/OR No.,Name of Location Place,Limits of High Accident Prone Location - Starting from (km),Limits of High Accident Prone Location - Ending to (km),Numbers of Accidents - 2016,Numbers of Accidents - 2017,Numbers of Accidents - 2018,Numbers of Accidents - Total of all three years,Numbers of Fatalities - 2016,Numbers of Fatalities - 2017,Numbers of Fatalities - 2018,Numbers of Fatalities - Total of all three years,Latitude,Longitude
Orrisha,Jagatsinghpur,Paradip PS,  NH- 53,Dochhaki paradip,72.95,73.45,5,1,2,8,6,9,1,16,20.3165523,86.6113628
Orrisha,Mayurabhanj,Bangriposi,NH-49,Dwarasuni Temple to Dwarsuni Ghati,230,230.5,8,4,5,17,9,4,2,15,22.152718,86.5413297
Orrisha,Mayurabhanj,Kuliana,NH-18,Kuchei toPower Grid Chaak,23.5,24,8,4,5,17,9,4,2,15,22.0700996,86.6485137
Orrisha,Jajpur,Badachana PS,NH- 16,Bandala chhak,51.3,51.8,9,12,6,27,5,3,7,15,20.6672393,86.1185813
Orrisha,UPD bhubaneaswar,Khandgiri,NH-16,Iginia chhak,410.25,410.75,6,6,12,24,5,6,4,15,20.2568819,85.7791854
Orrisha,Sambalpur,Dhanupali PS,NH-53,Near bhatra,562,562.5,7,21,8,36,2,8,5,15,21.4460796,83.9962491
Orrisha,Bhadrak,Bhadrak Rural,NH- 16,Trisalpur chhak (Rahanja),125.1,125.6,9,5,14,28,4,3,7,14,21.106917,86.49359
Orrisha,Khordha,Sahid    Nagar PS,NH- 16,Jaydev Vihar,417.75,418.25,7,7,12,26,3,6,5,14,20.296072,85.838579
Bihar,Naugachia,Naugachia,NH 31,Near Zero Mile,NA,NA,14,12,0,26,22,19,0,41,25.387344,87.0979867
Bihar,Gaya,Magadh Medical,NH 83,Cant Area,98,98.4,6,0,10,16,8,0,15,23,24.770954,84.9614342
Bihar,Gaya,Barachatti,NH 02,Kahubag,1036.7,1037.3,4,7,1,12,8,8,6,22,24.505218,85.0053329
Bihar,Gaya,Sherghati,NH 02,Gopalpur,1010.8,1011.2,6,2,3,11,11,7,3,21,24.5595131,84.7994271
Tamilnadu,Ariyalur,Kaikatti four road Junction,TN-001,,,,,,,,,,,,11.112843,79.17093
Tamilnadu,Ariyalur,Thirumanur Petrol Bunk,TN-002,,,,,,,,,,,,10.939844,79.098086
Tamilnadu,Coimbatore,JJ Nagar Bridge,TN-003,,,,,,,,,,,,10.957858,76.946446
Tamilnadu,Coimbatore,Themilai to Unjawelam patty,TN-004,,,,,,,,,,,,11.035944,76.975494
Tamilnadu,Coimbatore,Mathamapalayam Salval Company,TN-005,,,,,,,,,,,,11.259143,76.908792
Tamilnadu,Coimbatore,Gas company,TN-006,,,,,,,,,,,,10.989139,76.958806
Tamilnadu,Coimbatore,Viswanathapuram near VG Hospital,TN-007,,,,,,,,,,,,11.000367,76.998707
Tamilnadu,Coimbatore,Karpagam College Junction,TN-008,,,,,,,,,,,,10.864868,77.021494
Tamilnadu,Coimbatore,Ondipudar to Sumgam,TN-009,,,,,,,,,,,,10.993563,77.054512
Tamilnadu,Coimbatore,North Coimbatore to MTP road,TN-010,,,,,,,,,,,,11.003882,77.064087
Tamilnadu,Coimbatore,Saravanampatty to GP Signal,TN-011,,,,,,,,,,,,11.079396,76.998707
Tamilnadu,Coimbatore,Ukkadam to Eachamari,TN-012,,,,,,,,,,,,10.991174,76.965597
Tamilnadu,Coimbatore,Athupalam to Sugunapuram,TN-013,,,,,,,,,,,,10.974666,76.96182
Tamilnadu,Cuddalore,Maravai Bridge,TN-014,,,,,,,,,,,,11.526679,79.56137
Tamilnadu,Cuddalore,Pamikkankuppam,TN-015,,,,,,,,,,,,11.750151,79.55168
Tamilnadu,Cuddalore,OT Clock tower to Karaikudi Junction,TN-016,,,,,,,,,,,,11.714745,79.767921
Tamilnadu,Cuddalore,Cuddalore Chidambaram Main road,TN-017,,,,,,,,,,,,11.284484,79.549988
Tamilnadu,Cuddalore,Cuddalore Chidambaram Main road,TN-018,,,,,,,,,,,,11.447313,79.028762
Tamilnadu,Cuddalore,"Venkanur, Kallurm, Eluthur",TN-019,,,,,,,,,,,,11.476342,79.077745
Tamilnadu,Cuddalore,Ayyanarpalayam,TN-020,,,,,,,,,,,,11.938511,78.057224
Tamilnadu,Dharmapuri,Thoppur Katamedu,TN-021,,,,,,,,,,,,12.378659,78.413227
Tamilnadu,Krishnagiri,Krishnagiri to Bangalore NH-7,TN-022,,,,,,,,,,,,12.870146,79.707721
Tamilnadu,Kancheepuram,Ponnerikarai to White Gate,TN-023,,,,,,,,,,,,13.012514,80.094659
Tamilnadu,Kancheepuram,Sivanthangal Road Jn,TN-024,,,,,,,,,,,,12.961661,79.944819
Tamilnadu,Kancheepuram,Sriperumbudur West Bypass,TN-025,,,,,,,,,,,,12.863752,80.074644
Tamilnadu,Kancheepuram,Urappakkam Tea Shop Bus Stop,TN-026,,,,,,,,,,,,12.199502,79.958074
Tamilnadu,Kancheepuram,"TNSTC Motel, Mamandur",TN-027,,,,,,,,,,,,12.510027,79.883404
Tamilnadu,Kancheepuram,Maduranthagam Bypass,TN-028,,,,,,,,,,,,13.02396,80.02354
Tamilnadu,Kancheepuram,Chettipedu Junction,TN-029,,,,,,,,,,,,13.021394,80.183716
Tamilnadu,Kancheepuram,Panapakkam Road Junction,TN-030,,,,,,,,,,,,13.001189,79.990771
Tamilnadu,Kancheepuram,Mevalurkuppam,TN-031,,,,,,,,,,,,12.987575,79.979708
Tamilnadu,Kancheepuram,Thirumangalam,TN-032,,,,,,,,,,,,12.71646,79.981154
Tamilnadu,Kancheepuram,Pulipakkam Junction Road,TN-033,,,,,,,,,,,,12.675887,79.958175
Tamilnadu,Kancheepuram,Thailavaram to Urapakkam junction,TN-034,,,,,,,,,,,,12.829135,80.044776
Tamilnadu,Kancheepuram,Vandalur sign & New Bridge,TN-035,,,,,,,,,,,,12.893033,80.086206
Tamilnadu,Kancheepuram,"Koil Junction, Maraimalai Nagar",TN-036,,,,,,,,,,,,12.799657,80.022797
Tamilnadu,Kancheepuram,Vellai gate to Chinisaiyam chatram,TN-037,,,,,,,,,,,,12.887881,79.791689
Tamilnadu,Karaikumari,Marthandam to Chankai,TN-038,,,,,,,,,,,,8.297127,77.226843
Tamilnadu,Karur,Thirukkampulsyur Rountana,TN-039,,,,,,,,,,,,10.957681,78.25
Tamilnadu,Madurai,Ayyankottai Junction,TN-040,,,,,,,,,,,,10.027293,78.014927
Tamilnadu,Madurai,Munikovil Junction,TN-041,,,,,,,,,,,,10.017104,78.30734
Tamilnadu,Madurai,Ayyankottai Junction,TN-042,,,,,,,,,,,,10.027283,78.014957
Tamilnadu,Nagapattinam,Sirkali to Senthankudi,TN-043,,,,,,,,,,,,11.23964,79.72701
Tamilnadu,Nagapattinam,Rajivporam to Thirukadaiyur,TN-044,,,,,,,,,,,,11.016707,79.841528
Tamilnadu,Namakkal,Muthalaipatty Bypass,TN-045,,,,,,,,,,,,10.817368,78.577926
Tamilnadu,Namakkal,Karukalpalayam Bus Stop,TN-046,,,,,,,,,,,,11.34445,77.730049
Tamilnadu,Namakkal,Kottamedu Bypass,TN-047,,,,,,,,,,,,12.738268,80.132986
Tamilnadu,Perambur,Siruvachur Cross Road,TN-048,,,,,,,,,,,,11.192423,78.872868
Tamilnadu,Salem,Omalr to Deevattipatty,TN-049,,,,,,,,,,,,11.871636,78.083419
Tamilnadu,Salem,"Mallur Junction, Santhiyur Junction",TN-050,,,,,,,,,,,,10.906704,77.427858
Tamilnadu,Salem,Akkamapet Mangarangampalayam,TN-051,,,,,,,,,,,,11.52402,77.949537
Tamilnadu,Salem,11 K.Ms,TN-052,,,,,,,,,,,,11.663944,78.146691
Tamilnadu,Sivagangai,TPVM EB Office Near,TN-053,,,,,,,,,,,,11.595723,78.587582
Tamilnadu,Thanjavur,"Thirumalai Samudram, Sastra Uni",TN-054,,,,,,,,,,,,10.730688,79.017234
Tamilnadu,Thanjavur,Min Nagar Junction,TN-055,,,,,,,,,,,,10.699347,78.69419
Tamilnadu,Thanjavur,Mariamman Koil Bypass,TN-056,,,,,,,,,,,,10.281475,78.374404
Tamilnadu,Theni,10 Km Thannansali,TN-057,,,,,,,,,,,,9.593626,77.746046
Tamilnadu,Thiruvallur,Punchetty to Arambakkam,TN-058,,,,,,,,,,,,13.26521,80.153698
Tamilnadu,Thiruvallur,Sholavaram,TN-059,,,,,,,,,,,,13.225903,80.166277
Tamilnadu,Thiruvallur,Sipcot,TN-060,,,,,,,,,,,,13.063551,80.261268
Tamilnadu,Thiruvallur,Kavarapettai,TN-061,,,,,,,,,,,,13.36542,80.139497
Tamilnadu,Thoothukudi,15 to 15 = 30 Km,TN-062,,,,,,,,,,,,8.764827,78.133284
Tamilnadu,Thoothukudi,Villiseri,TN-063,,,,,,,,,,,,9.048054,77.800472
Tamilnadu,Thoothukudi,Pudukottai,TN-064,,,,,,,,,,,,10.384118,78.797245
Tamilnadu,Trichy,Ayyappan Kovil of Vaiyampatti,TN-065,,,,,,,,,,,,10.551089,78.303512
Tamilnadu,Trichy,Manikandam,TN-066,,,,,,,,,,,,10.736784,78.634832
Tamilnadu,Trichy,Pettavaithalai Bazaar,TN-067,,,,,,,,,,,,10.7904973,78.7046585
Tamilnadu,Trichy,Thiruverumbur ITI bus stop,TN-068,,,,,,,,,,,,10.7854,78.777
Tamilnadu,Trichy,Kottai cut road to asoor,TN-069,,,,,,,,,,,,10.7199,78.8468
Tamilnadu,Trichy,Kurinji College bus stop,TN-070,,,,,,,,,,,,10.8249,78.7056
Tamilnadu,Trichy,Kaikatti to Soriyampatti,TN-071,,,,,,,,,,,,11.02945,78.37555
Tamilnadu,Trichy,Malaichipuram to Thirupparaithurai,TN-072,,,,,,,,,,,,10.8838,78.5654
Tamilnadu,Trichy,Pettavaithalai Bazaar,TN-073,,,,,,,,,,,,10.9011,78.4894
Tamilnadu,Trichy,Thiruverumbur ITI bus stop,TN-074,,,,,,,,,,,,10.7935,78.7377
Tamilnadu,Trichy,Anna Arch,TN-075,,,,,,,,,,,,10.7598317,78.7024164
Tamilnadu,Trichy,Chathirupatti to Cholan Nagar,TN-076,,,,,,,,,,,,9.4145754,77.5990669
Tamilnadu,Trichy,Palpannai to Check post 4,TN-077,,,,,,,,,,,,10.8131554,78.7131251
Tamilnadu,Tiruppur,Palangarai to Tekkalur ,TN-078,,,,,,,,,,,,11.2051,77.3016
Tamilnadu,Tiruppur,Chengapalli,TN-079,,,,,,,,,,,,11.197,77.4237
Tamilnadu,Tirunelveli,Vasudevanallur,TN-080,,,,,,,,,,,,9.2395925,77.4113705
Tamilnadu,Tirunelveli,Kurinchikulam Villaku,TN-081,,,,,,,,,,,,8.7743887,77.7273242
Tamilnadu,Tirunelveli,"arunthikulam, Papankulam Vilakku",TN-082,,,,,,,,,,,,8.7792,77.425
Tamilnadu,Tirunelveli,Ponnakudi,TN-083,,,,,,,,,,,,8.6266,77.6955
Tamilnadu,Tirunelveli,Tirunelveli City,TN-084,,,,,,,,,,,,8.741222,77.694626
Tamilnadu,Vellore,Penamugai,TN-085,,,,,,,,,,,,12.9376,79.1858
Tamilnadu,Vellore,Vellore to Chennai road,TN-086,,,,,,,,,,,,12.913882,79.378935
Tamilnadu,Vellore,Adugandhangal Main road,TN-087,,,,,,,,,,,,12.9597,79.0096
Tamilnadu,Vellore,Perumbulipakkam,TN-088,,,,,,,,,,,,12.93035,79.51515
Tamilnadu,Villupuram,Saram,TN-089,,,,,,,,,,,,12.2808,79.7064
Tamilnadu,Villupuram,Tindivanam Junction,TN-090,,,,,,,,,,,,12.236884,79.649948
Tamilnadu,Villupuram,Jakkampet,TN-091,,,,,,,,,,,,11.9333,79.4833
Tamilnadu,Villupuram,Sithani,TN-092,,,,,,,,,,,,11.6849145,79.2873903
Tamilnadu,Villupuram,Akaram Bus stop,TN-093,,,,,,,,,,,,11.5159,79.3269
Tamilnadu,Villupuram,Vridhachalam ,TN-094,,,,,,,,,,,,10.786853,77.174332
Tamilnadu,Villupuram,Arasur Junction Bypass,TN-095,,,,,,,,,,,,11.73567,79.77686
Tamilnadu,Villupuram,Kedilam road bypass,TN-096,,,,,,,,,,,,10.79319,78.686676
Tamilnadu,Villupuram,Salem Bypass,TN-097,,,,,,,,,,,,11.94596,79.497414
Tamilnadu,Villupuram,Gingee bypass,TN-098,,,,,,,,,,,,11.953073,79.492147
Tamilnadu,Virudhunagar,Pattampudur to SRM Polytechnic,TN-099,,,,,,,,,,,,9.490348,77.9470747
Tamilnadu,Virudhunagar,Thottidovanpattti Junction,TN-100,,,,,,,,,,,,9.594975,77.959258
